feature,importance,fold
X17-min_gb_X5,1.8,4
X17-max_gb_X5,84.6,4
X17/sum_gb_X5,61.4,4
X32-mean_gb_X5,23.6,4
X32-min_gb_X5,9.4,4
X32-max_gb_X5,33.4,4
X32/sum_gb_X5,21.0,4
X33-mean_gb_X5,19.6,4
X33-min_gb_X5,8.6,4
X33-max_gb_X5,25.0,4
X33/sum_gb_X5,21.0,4
X38-mean_gb_X5,12.0,4
X38-min_gb_X5,0.4,4
X38-max_gb_X5,9.6,4
X38/sum_gb_X5,15.0,4
yuyin_mean-mean_gb_X5,17.6,4
yuyin_mean-min_gb_X5,1.8,4
yuyin_mean-max_gb_X5,69.4,4
yuyin_mean/sum_gb_X5,28.6,4
liuliang_mean-mean_gb_X5,33.4,4
liuliang_mean-min_gb_X5,0.8,4
liuliang_mean-max_gb_X5,37.6,4
liuliang_mean/sum_gb_X5,20.4,4
baohe_mean-mean_gb_X5,32.4,4
baohe_mean-min_gb_X5,1.4,4
baohe_mean-max_gb_X5,27.6,4
baohe_mean/sum_gb_X5,29.0,4
X4-mean_gb_X26,10.8,4
X4-min_gb_X26,1.2,4
X4-max_gb_X26,0.0,4
X4/sum_gb_X26,11.8,4
X15-mean_gb_X26,97.2,4
X15-min_gb_X26,30.0,4
X15-max_gb_X26,45.8,4
X15/sum_gb_X26,33.8,4
X16-mean_gb_X26,53.8,4
X16-min_gb_X26,0.2,4
X16-max_gb_X26,41.6,4
X16/sum_gb_X26,32.8,4
X17-mean_gb_X26,39.8,4
X17-min_gb_X26,1.4,4
X17-max_gb_X26,65.6,4
X17/sum_gb_X26,44.6,4
X32-mean_gb_X26,71.0,4
X32-min_gb_X26,22.6,4
X32-max_gb_X26,56.4,4
X32/sum_gb_X26,25.6,4
X33-mean_gb_X26,56.2,4
X33-min_gb_X26,27.4,4
X33-max_gb_X26,42.6,4
X33/sum_gb_X26,33.4,4
X38-mean_gb_X26,9.2,4
X38-min_gb_X26,0.2,4
X38-max_gb_X26,14.8,4
X38/sum_gb_X26,11.2,4
yuyin_mean-mean_gb_X26,20.8,4
yuyin_mean-min_gb_X26,0.2,4
yuyin_mean-max_gb_X26,28.6,4
yuyin_mean/sum_gb_X26,14.4,4
liuliang_mean-mean_gb_X26,5.8,4
liuliang_mean-min_gb_X26,0.8,4
liuliang_mean-max_gb_X26,18.0,4
liuliang_mean/sum_gb_X26,13.4,4
baohe_mean-mean_gb_X26,38.8,4
baohe_mean-min_gb_X26,0.4,4
baohe_mean-max_gb_X26,31.2,4
baohe_mean/sum_gb_X26,26.4,4
X4-mean_gb_X33_bin,16.4,4
X4-min_gb_X33_bin,0.6,4
X4-max_gb_X33_bin,0.0,4
X4/sum_gb_X33_bin,37.4,4
X15-mean_gb_X33_bin,86.6,4
X15-min_gb_X33_bin,77.0,4
X15-max_gb_X33_bin,74.4,4
X15/sum_gb_X33_bin,80.8,4
X16-mean_gb_X33_bin,53.6,4
X16-min_gb_X33_bin,25.4,4
X16-max_gb_X33_bin,93.2,4
X16/sum_gb_X33_bin,76.2,4
X17-mean_gb_X33_bin,56.6,4
X17-min_gb_X33_bin,18.2,4
X17-max_gb_X33_bin,82.8,4
X17/sum_gb_X33_bin,70.8,4
X32-mean_gb_X33_bin,49.6,4
X32-min_gb_X33_bin,35.2,4
X32-max_gb_X33_bin,50.2,4
X32/sum_gb_X33_bin,19.0,4
X33-mean_gb_X33_bin,102.0,4
X33-min_gb_X33_bin,32.8,4
X33-max_gb_X33_bin,50.4,4
X33/sum_gb_X33_bin,13.6,4
X38-mean_gb_X33_bin,9.2,4
X38-min_gb_X33_bin,12.0,4
X38-max_gb_X33_bin,19.6,4
X38/sum_gb_X33_bin,22.8,4
yuyin_mean-mean_gb_X33_bin,50.2,4
yuyin_mean-min_gb_X33_bin,7.2,4
yuyin_mean-max_gb_X33_bin,58.8,4
yuyin_mean/sum_gb_X33_bin,25.0,4
liuliang_mean-mean_gb_X33_bin,19.6,4
liuliang_mean-min_gb_X33_bin,6.6,4
liuliang_mean-max_gb_X33_bin,30.2,4
liuliang_mean/sum_gb_X33_bin,23.8,4
baohe_mean-mean_gb_X33_bin,46.2,4
baohe_mean-min_gb_X33_bin,4.0,4
baohe_mean-max_gb_X33_bin,42.8,4
baohe_mean/sum_gb_X33_bin,32.8,4
X1,54.6,5
X2,213.2,5
X3,1.4,5
X4,0.8,5
X5,0.6,5
X6,189.0,5
X7,102.2,5
X8,126.8,5
X9,155.0,5
X10,88.6,5
X11,82.8,5
X12,134.2,5
X13,48.8,5
X14,62.0,5
X15,22.0,5
X16,10.2,5
X17,12.4,5
X18,40.0,5
X19,26.6,5
X20,30.8,5
X21,23.0,5
X22,10.4,5
X23,10.6,5
X24,0.0,5
X25,19.6,5
X26,0.6,5
X27,0.0,5
X28,1.4,5
X29,17.2,5
X30,3.2,5
X31,33.8,5
X32,16.0,5
X33,11.8,5
X34,87.8,5
X35,55.4,5
X36,63.2,5
X37,126.2,5
X38,11.8,5
X39,84.6,5
X40,5.0,5
X41,51.6,5
X42,7.8,5
X43,6.4,5
arpu_incre_1,200.6,5
arpu_incre_2,96.4,5
arpu_incre_3,74.0,5
arpu_rate_1,122.4,5
arpu_rate_2,62.8,5
arpu_rate_3,90.0,5
dou_incre_1,108.8,5
mou_incre_1,125.6,5
dangyue_arpu,109.0,5
dangyue_dou,122.2,5
dangyue_mou,194.6,5
mou_dou_1,84.4,5
taocan_arpu_1,153.2,5
taocan_arpu_2,93.4,5
yuyin_mean,5.2,5
liuliang_mean,5.0,5
yuyin_incre_1,68.4,5
liuliang_incre_1,16.6,5
baohe_mean,6.0,5
baohe_incre_1,74.8,5
dangyue_yuyin,58.4,5
liuliang_yuyin,20.8,5
dangyue_baohe,51.2,5
arpu_qushi,58.8,5
dou_qushi,159.4,5
mou_qushi,167.4,5
yuyin_qushi,72.4,5
liuliang_qushi,36.8,5
baohe_qushi,82.8,5
X38_flag,1.2,5
5G_num,58.2,5
X3_count,4.6,5
X5_count,1.0,5
X26_count,0.0,5
X33_bin_count,1.8,5
X4-mean_gb_X3,17.8,5
X4-min_gb_X3,2.4,5
X4-max_gb_X3,6.0,5
X4/sum_gb_X3,16.4,5
X15-mean_gb_X3,96.0,5
X15-min_gb_X3,46.6,5
X15-max_gb_X3,87.8,5
X15/sum_gb_X3,81.8,5
X16-mean_gb_X3,72.4,5
X16-min_gb_X3,34.6,5
X16-max_gb_X3,53.6,5
X16/sum_gb_X3,73.8,5
X17-mean_gb_X3,72.0,5
X17-min_gb_X3,47.0,5
X17-max_gb_X3,103.4,5
X17/sum_gb_X3,72.8,5
X32-mean_gb_X3,55.0,5
X32-min_gb_X3,21.0,5
X32-max_gb_X3,19.6,5
X32/sum_gb_X3,50.8,5
X33-mean_gb_X3,38.6,5
X33-min_gb_X3,15.0,5
X33-max_gb_X3,12.0,5
X33/sum_gb_X3,37.6,5
X38-mean_gb_X3,10.6,5
X38-min_gb_X3,33.2,5
X38-max_gb_X3,14.0,5
X38/sum_gb_X3,21.4,5
yuyin_mean-mean_gb_X3,26.6,5
yuyin_mean-min_gb_X3,17.6,5
yuyin_mean-max_gb_X3,40.6,5
yuyin_mean/sum_gb_X3,35.4,5
liuliang_mean-mean_gb_X3,13.0,5
liuliang_mean-min_gb_X3,6.8,5
liuliang_mean-max_gb_X3,32.4,5
liuliang_mean/sum_gb_X3,17.2,5
baohe_mean-mean_gb_X3,33.2,5
baohe_mean-min_gb_X3,7.6,5
baohe_mean-max_gb_X3,26.0,5
baohe_mean/sum_gb_X3,24.8,5
X4-mean_gb_X5,15.0,5
X4-min_gb_X5,0.0,5
X4-max_gb_X5,0.0,5
X4/sum_gb_X5,14.4,5
X15-mean_gb_X5,77.4,5
X15-min_gb_X5,3.2,5
X15-max_gb_X5,65.4,5
X15/sum_gb_X5,66.2,5
X16-mean_gb_X5,45.6,5
X16-min_gb_X5,0.6,5
X16-max_gb_X5,25.8,5
X16/sum_gb_X5,53.8,5
X17-mean_gb_X5,57.4,5
X17-min_gb_X5,1.6,5
X17-max_gb_X5,78.0,5
X17/sum_gb_X5,55.4,5
X32-mean_gb_X5,23.8,5
X32-min_gb_X5,6.6,5
X32-max_gb_X5,49.4,5
X32/sum_gb_X5,30.6,5
X33-mean_gb_X5,21.4,5
X33-min_gb_X5,12.0,5
X33-max_gb_X5,28.8,5
X33/sum_gb_X5,18.0,5
X38-mean_gb_X5,12.0,5
X38-min_gb_X5,1.0,5
X38-max_gb_X5,9.6,5
X38/sum_gb_X5,21.4,5
yuyin_mean-mean_gb_X5,13.0,5
yuyin_mean-min_gb_X5,0.6,5
yuyin_mean-max_gb_X5,65.0,5
yuyin_mean/sum_gb_X5,21.4,5
liuliang_mean-mean_gb_X5,31.8,5
liuliang_mean-min_gb_X5,0.6,5
liuliang_mean-max_gb_X5,44.4,5
liuliang_mean/sum_gb_X5,13.6,5
baohe_mean-mean_gb_X5,28.8,5
baohe_mean-min_gb_X5,1.6,5
baohe_mean-max_gb_X5,35.6,5
baohe_mean/sum_gb_X5,37.2,5
X4-mean_gb_X26,5.6,5
X4-min_gb_X26,0.4,5
X4-max_gb_X26,0.2,5
X4/sum_gb_X26,10.8,5
X15-mean_gb_X26,95.4,5
X15-min_gb_X26,39.2,5
X15-max_gb_X26,41.4,5
X15/sum_gb_X26,38.2,5
X16-mean_gb_X26,63.2,5
X16-min_gb_X26,0.2,5
X16-max_gb_X26,37.4,5
X16/sum_gb_X26,37.4,5
X17-mean_gb_X26,42.2,5
X17-min_gb_X26,4.2,5
X17-max_gb_X26,69.6,5
X17/sum_gb_X26,49.6,5
X32-mean_gb_X26,76.8,5
X32-min_gb_X26,20.4,5
X32-max_gb_X26,62.0,5
X32/sum_gb_X26,23.0,5
X33-mean_gb_X26,55.6,5
X33-min_gb_X26,37.8,5
X33-max_gb_X26,46.2,5
X33/sum_gb_X26,32.8,5
X38-mean_gb_X26,11.0,5
X38-min_gb_X26,0.2,5
X38-max_gb_X26,11.0,5
X38/sum_gb_X26,15.6,5
yuyin_mean-mean_gb_X26,18.8,5
yuyin_mean-min_gb_X26,0.0,5
yuyin_mean-max_gb_X26,31.2,5
yuyin_mean/sum_gb_X26,19.6,5
liuliang_mean-mean_gb_X26,12.6,5
liuliang_mean-min_gb_X26,0.4,5
liuliang_mean-max_gb_X26,24.0,5
liuliang_mean/sum_gb_X26,19.4,5
baohe_mean-mean_gb_X26,51.8,5
baohe_mean-min_gb_X26,0.8,5
baohe_mean-max_gb_X26,36.6,5
baohe_mean/sum_gb_X26,22.6,5
X4-mean_gb_X33_bin,17.0,5
X4-min_gb_X33_bin,1.2,5
X4-max_gb_X33_bin,0.0,5
X4/sum_gb_X33_bin,19.6,5
X15-mean_gb_X33_bin,99.8,5
X15-min_gb_X33_bin,64.4,5
X15-max_gb_X33_bin,58.6,5
X15/sum_gb_X33_bin,72.0,5
X16-mean_gb_X33_bin,50.4,5
X16-min_gb_X33_bin,23.0,5
X16-max_gb_X33_bin,70.6,5
X16/sum_gb_X33_bin,70.0,5
X17-mean_gb_X33_bin,50.2,5
X17-min_gb_X33_bin,21.6,5
X17-max_gb_X33_bin,80.8,5
X17/sum_gb_X33_bin,57.0,5
X32-mean_gb_X33_bin,54.2,5
X32-min_gb_X33_bin,51.6,5
X32-max_gb_X33_bin,52.4,5
X32/sum_gb_X33_bin,24.6,5
X33-mean_gb_X33_bin,89.6,5
X33-min_gb_X33_bin,34.6,5
X33-max_gb_X33_bin,51.6,5
X33/sum_gb_X33_bin,19.0,5
X38-mean_gb_X33_bin,7.0,5
X38-min_gb_X33_bin,11.4,5
X38-max_gb_X33_bin,17.2,5
X38/sum_gb_X33_bin,20.6,5
yuyin_mean-mean_gb_X33_bin,36.4,5
yuyin_mean-min_gb_X33_bin,8.2,5
yuyin_mean-max_gb_X33_bin,55.0,5
yuyin_mean/sum_gb_X33_bin,29.0,5
liuliang_mean-mean_gb_X33_bin,20.8,5
liuliang_mean-min_gb_X33_bin,6.0,5
liuliang_mean-max_gb_X33_bin,24.0,5
liuliang_mean/sum_gb_X33_bin,25.2,5
baohe_mean-mean_gb_X33_bin,60.6,5
baohe_mean-min_gb_X33_bin,6.2,5
baohe_mean-max_gb_X33_bin,41.2,5
baohe_mean/sum_gb_X33_bin,33.4,5
