feature,importance,fold
X33-max_gb_X26,41.4,1
X33/sum_gb_X26,29.0,1
X38-mean_gb_X26,9.8,1
X38-min_gb_X26,0.0,1
X38-max_gb_X26,7.0,1
X38/sum_gb_X26,12.4,1
yuyin_mean-mean_gb_X26,14.6,1
yuyin_mean-min_gb_X26,0.6,1
yuyin_mean-max_gb_X26,36.8,1
yuyin_mean/sum_gb_X26,18.4,1
liuliang_mean-mean_gb_X26,4.4,1
liuliang_mean-min_gb_X26,0.0,1
liuliang_mean-max_gb_X26,18.0,1
liuliang_mean/sum_gb_X26,4.0,1
baohe_mean-mean_gb_X26,46.0,1
baohe_mean-min_gb_X26,0.0,1
baohe_mean-max_gb_X26,26.6,1
baohe_mean/sum_gb_X26,17.8,1
X4-mean_gb_X33_bin,12.8,1
X4-min_gb_X33_bin,2.0,1
X4-max_gb_X33_bin,0.2,1
X4/sum_gb_X33_bin,14.8,1
X15-mean_gb_X33_bin,79.6,1
X15-min_gb_X33_bin,61.6,1
X15-max_gb_X33_bin,58.2,1
X15/sum_gb_X33_bin,74.4,1
X16-mean_gb_X33_bin,51.0,1
X16-min_gb_X33_bin,19.8,1
X16-max_gb_X33_bin,81.2,1
X16/sum_gb_X33_bin,59.2,1
X17-mean_gb_X33_bin,41.2,1
X17-min_gb_X33_bin,20.4,1
X17-max_gb_X33_bin,72.0,1
X17/sum_gb_X33_bin,49.8,1
X32-mean_gb_X33_bin,50.4,1
X32-min_gb_X33_bin,35.4,1
X32-max_gb_X33_bin,50.6,1
X32/sum_gb_X33_bin,16.4,1
X33-mean_gb_X33_bin,81.4,1
X33-min_gb_X33_bin,38.2,1
X33-max_gb_X33_bin,39.2,1
X33/sum_gb_X33_bin,15.4,1
X38-mean_gb_X33_bin,7.8,1
X38-min_gb_X33_bin,12.4,1
X38-max_gb_X33_bin,10.0,1
X38/sum_gb_X33_bin,13.8,1
yuyin_mean-mean_gb_X33_bin,38.8,1
yuyin_mean-min_gb_X33_bin,7.8,1
yuyin_mean-max_gb_X33_bin,46.8,1
yuyin_mean/sum_gb_X33_bin,25.6,1
liuliang_mean-mean_gb_X33_bin,12.2,1
liuliang_mean-min_gb_X33_bin,2.6,1
liuliang_mean-max_gb_X33_bin,19.2,1
liuliang_mean/sum_gb_X33_bin,14.8,1
baohe_mean-mean_gb_X33_bin,48.4,1
baohe_mean-min_gb_X33_bin,4.4,1
baohe_mean-max_gb_X33_bin,46.8,1
baohe_mean/sum_gb_X33_bin,29.0,1
X1,49.8,2
X2,264.4,2
X3,0.4,2
X4,0.4,2
X5,0.2,2
X6,238.8,2
X7,120.8,2
X8,133.4,2
X9,165.6,2
X10,130.2,2
X11,131.8,2
X12,159.2,2
X13,89.0,2
X14,100.6,2
X15,26.6,2
X16,13.0,2
X17,18.6,2
X18,54.6,2
X19,46.2,2
X20,58.4,2
X21,26.2,2
X22,23.8,2
X23,30.0,2
X24,0.0,2
X25,23.0,2
X26,1.2,2
X27,0.0,2
X28,0.6,2
X29,22.4,2
X30,10.0,2
X31,35.2,2
X32,16.0,2
X33,10.4,2
X34,125.4,2
X35,81.4,2
X36,90.0,2
X37,137.8,2
X38,14.0,2
X39,85.0,2
X40,2.0,2
X41,45.2,2
X42,8.2,2
X43,6.2,2
arpu_incre_1,237.4,2
arpu_incre_2,120.8,2
arpu_incre_3,110.8,2
arpu_rate_1,171.4,2
arpu_rate_2,87.4,2
arpu_rate_3,117.8,2
dou_incre_1,150.0,2
mou_incre_1,169.0,2
dangyue_arpu,152.4,2
dangyue_dou,186.2,2
dangyue_mou,231.0,2
mou_dou_1,154.2,2
taocan_arpu_1,201.2,2
taocan_arpu_2,130.6,2
yuyin_mean,10.2,2
liuliang_mean,11.8,2
yuyin_incre_1,87.0,2
liuliang_incre_1,28.4,2
baohe_mean,13.6,2
baohe_incre_1,111.4,2
dangyue_yuyin,82.0,2
liuliang_yuyin,36.8,2
dangyue_baohe,89.2,2
arpu_qushi,97.6,2
dou_qushi,212.4,2
mou_qushi,212.0,2
yuyin_qushi,105.8,2
liuliang_qushi,38.8,2
baohe_qushi,111.0,2
X38_flag,0.4,2
5G_num,79.6,2
X3_count,3.2,2
X5_count,3.2,2
X26_count,0.2,2
X33_bin_count,2.0,2
X4-mean_gb_X3,18.2,2
X4-min_gb_X3,1.4,2
X4-max_gb_X3,5.6,2
X4/sum_gb_X3,22.6,2
X15-mean_gb_X3,138.6,2
X15-min_gb_X3,62.4,2
X15-max_gb_X3,136.2,2
X15/sum_gb_X3,103.6,2
X16-mean_gb_X3,97.6,2
X16-min_gb_X3,48.2,2
X16-max_gb_X3,71.2,2
X16/sum_gb_X3,84.4,2
X17-mean_gb_X3,118.6,2
X17-min_gb_X3,61.8,2
X17-max_gb_X3,135.2,2
X17/sum_gb_X3,125.4,2
X32-mean_gb_X3,80.4,2
X32-min_gb_X3,18.6,2
X32-max_gb_X3,45.8,2
X32/sum_gb_X3,55.2,2
X33-mean_gb_X3,46.4,2
X33-min_gb_X3,10.6,2
X33-max_gb_X3,14.2,2
X33/sum_gb_X3,43.0,2
X38-mean_gb_X3,12.0,2
X38-min_gb_X3,35.6,2
X38-max_gb_X3,27.0,2
X38/sum_gb_X3,22.6,2
yuyin_mean-mean_gb_X3,40.6,2
yuyin_mean-min_gb_X3,23.8,2
yuyin_mean-max_gb_X3,74.4,2
yuyin_mean/sum_gb_X3,53.8,2
liuliang_mean-mean_gb_X3,16.6,2
liuliang_mean-min_gb_X3,13.8,2
liuliang_mean-max_gb_X3,45.0,2
liuliang_mean/sum_gb_X3,22.8,2
baohe_mean-mean_gb_X3,43.8,2
baohe_mean-min_gb_X3,13.8,2
baohe_mean-max_gb_X3,46.6,2
baohe_mean/sum_gb_X3,41.8,2
X4-mean_gb_X5,13.0,2
X4-min_gb_X5,0.0,2
X4-max_gb_X5,0.0,2
X4/sum_gb_X5,18.6,2
X15-mean_gb_X5,95.8,2
X15-min_gb_X5,2.8,2
X15-max_gb_X5,96.6,2
X15/sum_gb_X5,92.4,2
X16-mean_gb_X5,63.6,2
X16-min_gb_X5,2.2,2
X16-max_gb_X5,46.2,2
X16/sum_gb_X5,85.4,2
X17-mean_gb_X5,75.0,2
X17-min_gb_X5,2.6,2
X17-max_gb_X5,138.2,2
X17/sum_gb_X5,103.2,2
X32-mean_gb_X5,35.6,2
